30917;48;g1j1qwQQ8-Q;19;James Blunt;49;Bonfire Heart;loyal;2997;Your love is like a soldier, __ till you die;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;12460;19990;7530;0;0
31081;496;pB-5XG-DbAA;2411;Sam Smith;761;Stay With Me;emotional;40296;Why am I so __?;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;86310;91570;5260;0;0
31090;571;VuNIsY6JdUw;2448;Taylor Swift;872;You Belong With Me;typical;47090;It's a __ Tuesday night;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;23840;26240;2400;0;0
31091;582;74aOxH4R5Ow;2424;Demi Lovato;912;Warrior;criminal;49363;You're a __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;37540;40710;3170;0;0
31094;601;mqFLXayD6e8;2512;Shania Twain;1004;That Don'T Impress Me Much;original;54944;You're a regular __, a know-it-all;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;28470;32860;4390;0;0
31095;601;mqFLXayD6e8;2512;Shania Twain;1004;That Don'T Impress Me Much;special;54946;You think you're __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;32860;36510;3650;0;0
31096;601;mqFLXayD6e8;2512;Shania Twain;1004;That Don'T Impress Me Much;special;54958;You think you're something __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;86230;90290;4060;0;0
31097;601;mqFLXayD6e8;2512;Shania Twain;1004;That Don'T Impress Me Much;special;54970;You think you're something __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;148410;151420;3010;0;0
31098;617;AgFeZr5ptV8;2973;Christina Aguilera;1917;22;magical;100813;It's miserable and __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;29410;33690;4280;0;0
31099;617;AgFeZr5ptV8;2973;Christina Aguilera;1917;22;magical;100826;It's miserable and __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;93520;98170;4650;0;0
31100;608;e-ORhEE9VVg;2448;Taylor Swift;2046;Blank Space;crystal;106924;Cherry lips, __ skies;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;93360;95710;2350;0;0
31101;622;TtCXUFImZYE;2957;Frozen;2058;Love Is An Open Door;mental;107599;Our __ synchronization;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;94920;96930;2010;0;0
31102;628;BlRvE9dKWQc;2958;High School Musical;2063;We'Re All In This Together;special;107963;Everyone is __ in their own way;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;51800;55690;3890;0;0
31103;632;BV77nWMQgJI;3081;Aladdin;2067;A Whole New World;crystal;108248;It's __ clear;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;70440;72470;2030;0;0
31105;638;78-bUVSiJMA;3084;Phineas And Ferb;2072;Today Is Gonna Be A Great Day;annual;108463;So the __ problem for our generation;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;6080;9300;3220;0;0
31106;638;78-bUVSiJMA;3084;Phineas And Ferb;2072;Today Is Gonna Be A Great Day;tidal;108470;Surfing __ waves, creating nano-bots;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;25350;28100;2750;0;0
31107;638;78-bUVSiJMA;3084;Phineas And Ferb;2072;Today Is Gonna Be A Great Day;manual;108494;A pocket full of rubber bands, the __ on handstands;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;130610;133660;3050;0;0
31108;638;78-bUVSiJMA;3084;Phineas And Ferb;2072;Today Is Gonna Be A Great Day;portal;108508;Constructing a __ to Mars;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;76500;79530;3030;0;0
31109;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;special;108806;They will come, they will go, make us __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;68910;81810;12900;0;0
31110;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;special;108814;They will come, they will go, make us __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;142390;154840;12450;0;0
31111;649;kxVUee4WsoA;2924;Birdy;2079;Not About Angels;special;108818;They will come, they will go, make us __;Feature_Has_Phonemes_Ah0_L_Spelled_Al;endings_le_el_al_il;word_endings;179890;195190;15300;0;0
