26308,13,LOZuxwVk7TU,5,britney spears,13,toxic,devil,905,From my __'s cup,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,89250,91250,2000,1,
26309,26,AHDtXqjgEj4,10,Bruno Mars,27,gorilla,devil,1779,You got your legs up in the sky with the __ in your eyes,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,20310,24510,4200,1,
26310,34,FyXtoTLLcDk,13,Justin Timberlake,35,tko,evil,2213,Girl I can see in your eyes that there's something inside that made you __,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,41770,48760,6990,1,
26311,84,sOnqjkJTMaA,37,Michael Jackson,85,thriller,evil,4782,It's close to midnight and something __'s lurking,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,58730,63400,4670,1,
26312,84,sOnqjkJTMaA,37,Michael Jackson,85,thriller,evil,4862,The __ of the thriller,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,339070,823000,483930,1,
26313,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,devil,5828,Her lips are __ red,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,61940,64670,2730,1,
26314,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,devil,5850,Her lips are __ red,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,123980,126550,2570,1,
26315,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,devil,5866,Her lips are __ red,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,175290,177800,2510,1,
26316,103,p47fEXGabaY,54,ricky martin,104,livin' la vida loca,devil,5878,Her lips are __ red,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,196690,199360,2670,1,
26317,105,#NAME?,56,Emeli Sande,106,next to me,devil,5980,You won't find him trying to chase the __,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,30960,36340,5380,1,
26318,119,cPJUBQd-PNM,71,Usher,121,dj got us fallin' in love,evil,6817,"Hear no __, or speak no evil, or see no evil",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,135520,138680,3160,1,
26319,119,cPJUBQd-PNM,71,Usher,121,dj got us fallin' in love,evil,6817,"Hear no evil, or speak no __, or see no evil",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,135520,138680,3160,1,
26320,119,cPJUBQd-PNM,71,Usher,121,dj got us fallin' in love,evil,6817,"Hear no evil, or speak no evil, or see no __",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,135520,138680,3160,1,
26321,175,DmeUuoxyt_E,358,Nickelback,180,rockstar,evil,9989,They'll get you anything with that __ smile,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,168630,171120,2490,1,
26322,175,DmeUuoxyt_E,358,Nickelback,180,rockstar,evil,10011,They'll get you anything with that __ smile,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,229340,232690,3350,1,
26323,241,qfNmyxV2Ncw,399,Aerosmith,247,cryin',devil,12369,Is the __'s in your kiss,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,126550,129970,3420,1,
26324,310,YVkUvmDQ3HY,802,Eminem,320,without me,pencil,15026,"I've been dope, suspenseful with a __",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,188250,190450,2200,1,
26325,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19470,And it's hard to dance with a __ on your back,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,81520,85840,4320,1,
26326,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19482,And it's hard to dance with a __ on your back,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,117780,121160,3380,1,
26327,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19485,I tried to dance with the __ on your back,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,126600,131260,4660,1,
26328,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19495,"Cause looking for heaven, found the __ in me",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,170970,175770,4800,1,
26329,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19496,"Looking for heaven, for the __ in me",Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,175770,179860,4090,1,
26330,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19503,And it's hard to dance with a __ on your back,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,198240,201730,3490,1,
26331,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,devil,19510,And it's hard to dance with a __ on your back,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,216000,219910,3910,1,
26332,433,YgSPaXgAdzE,2138,Beck,450,loser,evil,20770,Forces of __ in a bozo nightmare,Feature_Has_Phonemes_Ah0_L_Spelled_Il,endings_le_el_al_il,word_endings,90170,92390,2220,1,
